description;location;minSpeedOver;maxSpeedOver;article;severity;minFine;maxFine;points;banDays;prisonMin;prisonMax;communityServiceMin;communityServiceMax;alternativePenalty;explanation
URBAN 10-20;URBAN;10;20;ZOBS art. 43, 45 par. 1 pts. 1-3 (penal art. 333);MINOR;5000;5000;0;0;0;0;0;0;false;Speeding URBAN 10-20 km/h over -> 5.000 RSD
URBAN 21-30;URBAN;21;30;ZOBS art. 43, 45 par. 1 pts. 1-3 (penal art. 332a);PETTY;10000;10000;0;0;0;0;0;0;false;Speeding URBAN 21-30 km/h over -> 10.000 RSD
URBAN 31-50;URBAN;31;50;ZOBS art. 43, 45 par. 1 pts. 1-3 (penal art. 332);MODERATE;10000;20000;4;30;0;0;0;0;false;Speeding URBAN 31-50 km/h over -> 10.000-20.000 RSD + 4 points + 30 days ban
URBAN 51-70;URBAN;51;70;ZOBS art. 43, 45 par. 1 pts. 1-3 (penal art. 331);MAJOR;20000;40000;7;120;0;30;0;0;true;Speeding URBAN 51-70 km/h over -> 20-40k RSD OR prison <= 30 days + 7 points + 4 months ban
URBAN 71-90;URBAN;71;90;ZOBS art. 43, 45 par. 1 pts. 1-3 (penal art. 330);SEVERE;100000;120000;14;240;15;30;0;0;true;Speeding URBAN 71-90 km/h over -> 100-120k RSD OR prison >= 15 days + 14 points + 8 months ban
URBAN over 90;URBAN;91;999;ZOBS art. 43, 45 par. 1 pts. 1-3 (penal art. 329 - reckless driving);VIOLENT;120000;140000;15;270;30;60;240;360;true;Speeding URBAN > 90 km/h over -> 120-140k RSD + prison or community service + 15 points + 9 months ban (RECKLESS DRIVING)
OPEN 10-20;OPEN_ROAD;10;20;ZOBS art. 44, 45 par. 1 pts. 1-3 (penal art. 333);MINOR;5000;5000;0;0;0;0;0;0;false;Speeding OPEN_ROAD 10-20 km/h over -> 5.000 RSD
OPEN 21-40;OPEN_ROAD;21;40;ZOBS art. 44, 45 par. 1 pts. 1-3 (penal art. 332a);PETTY;10000;10000;0;0;0;0;0;0;false;Speeding OPEN_ROAD 21-40 km/h over -> 10.000 RSD
OPEN 41-60;OPEN_ROAD;41;60;ZOBS art. 44, 45 par. 1 pts. 1-3 (penal art. 332);MODERATE;10000;20000;3;30;0;0;0;0;false;Speeding OPEN_ROAD 41-60 km/h over -> 10-20k RSD + 3 points + 30 days ban
OPEN 61-80;OPEN_ROAD;61;80;ZOBS art. 44, 45 par. 1 pts. 1-3 (penal art. 331);MAJOR;20000;40000;6;90;0;30;0;0;true;Speeding OPEN_ROAD 61-80 km/h over -> 20-40k RSD OR prison <= 30 days + 6 points + 3 months ban
OPEN 81-100;OPEN_ROAD;81;100;ZOBS art. 44, 45 par. 1 pts. 1-3 (penal art. 330);SEVERE;100000;120000;14;240;15;30;0;0;true;Speeding OPEN_ROAD 81-100 km/h over -> 100-120k RSD OR prison >= 15 days + 14 points + 8 months ban
OPEN over 100;OPEN_ROAD;101;999;ZOBS art. 44, 45 par. 1 pts. 1-3 (penal art. 329 - reckless driving);VIOLENT;120000;140000;15;270;30;60;240;360;true;Speeding OPEN_ROAD > 100 km/h over -> 120-140k RSD + prison or community service + 15 points + 9 months ban (RECKLESS DRIVING)
SCHOOL_ZONE over 60;SCHOOL_ZONE;61;999;ZOBS art. 45 (school zone, penal art. 330);SEVERE;100000;120000;14;240;15;30;0;0;true;Speeding SCHOOL_ZONE > 60 km/h over -> 100-120k RSD OR prison >= 15 days + 14 points + 8 months ban
